External Library Name, Link to License, License Name, Binaries using the license.
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
mynewt-nmble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./nimble_bridge android-emu-agents.dylib ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./emulator android-emu-metrics.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, ./nimble_bridge android-emu-agents.dylib ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./emulator android-emu-curl.dylib android-emu-metrics.dylib ./qemu-img ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
protobuf, BSD-3-Clause, BSD-3-Clause, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib android-emu-protos.dylib ./emulator android-emu-metrics.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 android-emu-tracing.dylib OpenglRender.dylib ./emulator-check libprotobuf.dylib ./qemu/darwin-aarch64/qemu-system-armel, 
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
Qt WebEngineCore, https://doc.qt.io/qt-5.12/qtWebEngineCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt WebSockets, https://doc.qt.io/qt-5.12/qtWebSockets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./emulator android-emu-curl.dylib android-emu-metrics.dylib ./qemu-img ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libswiftshader_libEGL.dylib lib64/gles_angle/libswiftshader_libGLESv2.dylib lib64/gles_angle/libEGL.dylib ./emulator lib64/gles_angle/libGLESv2.dylib lib64/gles_angle/libvk_swiftshader.dylib, https://chromium.googlesource.com/angle/angle
flatbuffers, Apache-2.0, Apache-2.0, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qsn ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://github.com/google/flatbuffers
